#Mouth boundary - rescaled Littlehampton tidal levels
#Imposed tidal water level
#
T          SL(1)
s          m 
    43500.00   0.421000
    43560.00   0.399320
    43620.00   0.377627
    43680.00   0.355924
    43740.00   0.334215
    43800.00   0.312503
    43860.00   0.290790
    43920.00   0.269081
    43980.00   0.247377
    44040.00   0.225682
    44100.00   0.204000
    44160.00   0.182333
    44220.00   0.160688
    44280.00   0.139070
    44340.00   0.117485
    44400.00   0.095939
    44460.00   0.074438
    44520.00   0.052987
    44580.00   0.031594
    44640.00   0.010263
    44700.00  -0.011000
    44760.00  -0.032192
    44820.00  -0.053331
    44880.00  -0.074437
    44940.00  -0.095531
    45000.00  -0.116633
    45060.00  -0.137765
    45120.00  -0.158946
    45180.00  -0.180199
    45240.00  -0.201543
    45300.00  -0.223000
    45360.00  -0.244583
    45420.00  -0.266275
    45480.00  -0.288054
    45540.00  -0.309898
    45600.00  -0.331781
    45660.00  -0.353683
    45720.00  -0.375578
    45780.00  -0.397445
    45840.00  -0.419260
    45900.00  -0.441000
    45960.00  -0.462648
    46020.00  -0.484217
    46080.00  -0.505722
    46140.00  -0.527183
    46200.00  -0.548616
    46260.00  -0.570040
    46320.00  -0.591473
    46380.00  -0.612932
    46440.00  -0.634435
    46500.00  -0.656000
    46560.00  -0.677635
    46620.00  -0.699307
    46680.00  -0.720974
    46740.00  -0.742596
    46800.00  -0.764129
    46860.00  -0.785532
    46920.00  -0.806762
    46980.00  -0.827778
    47040.00  -0.848538
    47100.00  -0.869000
    47160.00  -0.889131
    47220.00  -0.908941
    47280.00  -0.928446
    47340.00  -0.947666
    47400.00  -0.966618
    47460.00  -0.985321
    47520.00  -1.003792
    47580.00  -1.022050
    47640.00  -1.040113
    47700.00  -1.058000
    47760.00  -1.075728
    47820.00  -1.093314
    47880.00  -1.110777
    47940.00  -1.128133
    48000.00  -1.145399
    48060.00  -1.162594
    48120.00  -1.179734
    48180.00  -1.196837
    48240.00  -1.213920
    48300.00  -1.231000
    48360.00  -1.248092
    48420.00  -1.265194
    48480.00  -1.282305
    48540.00  -1.299420
    48600.00  -1.316535
    48660.00  -1.333648
    48720.00  -1.350754
    48780.00  -1.367850
    48840.00  -1.384934
    48900.00  -1.402000
    48960.00  -1.419043
    49020.00  -1.436044
    49080.00  -1.452983
    49140.00  -1.469837
    49200.00  -1.486586
    49260.00  -1.503208
    49320.00  -1.519681
    49380.00  -1.535985
    49440.00  -1.552099
    49500.00  -1.568000
    49560.00  -1.583676
    49620.00  -1.599148
    49680.00  -1.614443
    49740.00  -1.629592
    49800.00  -1.644622
    49860.00  -1.659562
    49920.00  -1.674441
    49980.00  -1.689288
    50040.00  -1.704131
    50100.00  -1.719000
    50160.00  -1.733910
    50220.00  -1.748828
    50280.00  -1.763710
    50340.00  -1.778508
    50400.00  -1.793177
    50460.00  -1.807673
    50520.00  -1.821948
    50580.00  -1.835958
    50640.00  -1.849658
    50700.00  -1.863000
    50760.00  -1.875955
    50820.00  -1.888554
    50880.00  -1.900842
    50940.00  -1.912865
    51000.00  -1.924669
    51060.00  -1.936299
    51120.00  -1.947802
    51180.00  -1.959222
    51240.00  -1.970606
    51300.00  -1.982000
    51360.00  -1.993432
    51420.00  -2.004866
    51480.00  -2.016249
    51540.00  -2.027527
    51600.00  -2.038646
    51660.00  -2.049554
    51720.00  -2.060196
    51780.00  -2.070520
    51840.00  -2.080473
    51900.00  -2.090000
    51960.00  -2.099066
    52020.00  -2.107708
    52080.00  -2.115979
    52140.00  -2.123932
    52200.00  -2.131622
    52260.00  -2.139102
    52320.00  -2.146426
    52380.00  -2.153648
    52440.00  -2.160821
    52500.00  -2.168000
    52560.00  -2.175221
    52620.00  -2.182453
    52680.00  -2.189649
    52740.00  -2.196761
    52800.00  -2.203741
    52860.00  -2.210542
    52920.00  -2.217116
    52980.00  -2.223416
    53040.00  -2.229393
    53100.00  -2.235000
    53160.00  -2.240204
    53220.00  -2.245032
    53280.00  -2.249523
    53340.00  -2.253720
    53400.00  -2.257663
    53460.00  -2.261393
    53520.00  -2.264950
    53580.00  -2.268377
    53640.00  -2.271713
    53700.00  -2.275000
    53760.00  -2.278269
    53820.00  -2.281516
    53880.00  -2.284727
    53940.00  -2.287887
    54000.00  -2.290983
    54060.00  -2.293999
    54120.00  -2.296924
    54180.00  -2.299741
    54240.00  -2.302438
    54300.00  -2.305000
    54360.00  -2.307414
    54420.00  -2.309671
    54480.00  -2.311761
    54540.00  -2.313676
    54600.00  -2.315407
    54660.00  -2.316946
    54720.00  -2.318283
    54780.00  -2.319410
    54840.00  -2.320319
    54900.00  -2.321000
    54960.00  -2.321448
    55020.00  -2.321673
    55080.00  -2.321688
    55140.00  -2.321506
    55200.00  -2.321139
    55260.00  -2.320602
    55320.00  -2.319906
    55380.00  -2.319065
    55440.00  -2.318092
    55500.00  -2.317000
    55560.00  -2.315798
    55620.00  -2.314476
    55680.00  -2.313021
    55740.00  -2.311421
    55800.00  -2.309661
    55860.00  -2.307728
    55920.00  -2.305609
    55980.00  -2.303290
    56040.00  -2.300758
    56100.00  -2.298000
    56160.00  -2.295008
    56220.00  -2.291799
    56280.00  -2.288395
    56340.00  -2.284819
    56400.00  -2.281093
    56460.00  -2.277239
    56520.00  -2.273281
    56580.00  -2.269240
    56640.00  -2.265139
    56700.00  -2.261000
    56760.00  -2.256839
    56820.00  -2.252640
    56880.00  -2.248381
    56940.00  -2.244039
    57000.00  -2.239593
    57060.00  -2.235019
    57120.00  -2.230295
    57180.00  -2.225399
    57240.00  -2.220308
    57300.00  -2.215000
    57360.00  -2.209457
    57420.00  -2.203682
    57480.00  -2.197681
    57540.00  -2.191463
    57600.00  -2.185035
    57660.00  -2.178404
    57720.00  -2.171578
    57780.00  -2.164563
    57840.00  -2.157368
    57900.00  -2.150000
    57960.00  -2.142464
    58020.00  -2.134762
    58080.00  -2.126891
    58140.00  -2.118852
    58200.00  -2.110642
    58260.00  -2.102261
    58320.00  -2.093707
    58380.00  -2.084980
    58440.00  -2.076078
    58500.00  -2.067000
    58560.00  -2.057747
    58620.00  -2.048326
    58680.00  -2.038747
    58740.00  -2.029018
    58800.00  -2.019148
    58860.00  -2.009146
    58920.00  -1.999021
    58980.00  -1.988782
    59040.00  -1.978439
    59100.00  -1.968000
    59160.00  -1.957473
    59220.00  -1.946860
    59280.00  -1.936163
    59340.00  -1.925382
    59400.00  -1.914518
    59460.00  -1.903573
    59520.00  -1.892548
    59580.00  -1.881443
    59640.00  -1.870260
    59700.00  -1.859000
    59760.00  -1.847663
    59820.00  -1.836249
    59880.00  -1.824757
    59940.00  -1.813184
    60000.00  -1.801530
    60060.00  -1.789794
    60120.00  -1.777974
    60180.00  -1.766070
    60240.00  -1.754078
    60300.00  -1.742000
    60360.00  -1.729839
    60420.00  -1.717623
    60480.00  -1.705386
    60540.00  -1.693162
    60600.00  -1.680985
    60660.00  -1.668890
    60720.00  -1.656910
    60780.00  -1.645079
    60840.00  -1.633431
    60900.00  -1.622000
    60960.00  -1.610808
    61020.00  -1.599829
    61080.00  -1.589023
    61140.00  -1.578352
    61200.00  -1.567778
    61260.00  -1.557261
    61320.00  -1.546764
    61380.00  -1.536247
    61440.00  -1.525672
    61500.00  -1.515000
    61560.00  -1.504202
    61620.00  -1.493287
    61680.00  -1.482274
    61740.00  -1.471182
    61800.00  -1.460029
    61860.00  -1.448833
    61920.00  -1.437613
    61980.00  -1.426389
    62040.00  -1.415178
    62100.00  -1.404000
    62160.00  -1.392863
    62220.00  -1.381742
    62280.00  -1.370599
    62340.00  -1.359400
    62400.00  -1.348108
    62460.00  -1.336687
    62520.00  -1.325102
    62580.00  -1.313317
    62640.00  -1.301294
    62700.00  -1.289000
    62760.00  -1.276413
    62820.00  -1.263577
    62880.00  -1.250551
    62940.00  -1.237394
    63000.00  -1.224164
    63060.00  -1.210921
    63120.00  -1.197725
